id,number,street,unit,lon,lat,city,postcode,region,accuracy
GANSW718662870,24,CORDEAUX STREET,,150.46454726,-34.43358684,WILLOW VALE,2575,NSW,4
GANSW716404837,72-74,KING GEORGES ROAD,UNIT 9,151.06841558,-33.92206567,WILEY PARK,2195,NSW,1
GANSW706184695,143,ELIZABETH DRIVE,,150.67472212,-35.06878439,VINCENTIA,2540,NSW,2
GANSW718108075,25,WAINEWRIGHT AVENUE,,150.83045898,-33.93820859,WEST HOXTON,2171,NSW,2
GANSW718242287,25,LOUIS STREET,,149.43497744,-30.22697120,WEE WAA,2388,NSW,2
GANSW712962249,20,CASCADE STREET,UNIT 2,150.37092162,-33.71267338,WENTWORTH FALLS,2782,NSW,2
GANSW706300539,1,HARROW CLOSE,,151.71499679,-32.97590230,WHITEBRIDGE,2290,NSW,2
GANSW706305536,8,SINGLETON ROAD,,150.98586355,-33.38692558,WISEMANS FERRY,2775,NSW,2
GANSW706337746,70,ROEBUCK CRESCENT,,150.79745286,-33.72651629,WILLMOT,2770,NSW,2
GANSW719375730,845,MEADOW PLAINS ROAD,,148.26874932,-30.17800802,WALGETT,2832,NSW,4
GANSW718776273,1,BINDON PLACE,UNIT 811,151.21209782,-33.90932756,ZETLAND,2017,NSW,4
GANSW718776189,5,BINDON PLACE,UNIT 227,151.21209782,-33.90932756,ZETLAND,2017,NSW,4
GANSW718776199,3,BINDON PLACE,UNIT 317,151.21209782,-33.90932756,ZETLAND,2017,NSW,4
GANSW706304310,6,SAMARAI ROAD,,150.81394481,-33.75609473,WHALAN,2770,NSW,2
GANSW706335952,82,LEE ROAD,,150.61028358,-33.68210777,WINMALEE,2777,NSW,2
GANSW706308996,10,GLEBE STREET,,150.89694542,-34.43115278,WOLLONGONG,2500,NSW,2
GANSW718558734,13,DAY STREET,,150.81744893,-33.61125957,WINDSOR,2756,NSW,2
GANSW712316196,19,HARBOUR STREET,UNIT 3,150.90296538,-34.42485233,WOLLONGONG,2500,NSW,4
GANSW716878436,11A,LACHLAN STREET,UNIT 310,151.21165941,-33.90096362,WATERLOO,2017,NSW,2
GANSW706326984,9,ROBERT STREET,,150.90962963,-34.34210374,WOONONA,2517,NSW,2
GANSW719231880,119,ROYALTY STREET,,151.58784332,-32.90811206,WEST WALLSEND,2286,NSW,2
GANSW706176819,26,CLARKE STREET,UNIT 1,151.28418848,-33.85774717,VAUCLUSE,2030,NSW,2
GANSW715423478,836,BLACKMORE STREET,,146.89910590,-36.07593938,WEST ALBURY,2640,NSW,2
GANSW716334772,9A,MARINE PARADE,,151.28222048,-33.84448718,WATSONS BAY,2030,NSW,2
GANSW706316870,19,TAHLEE AVENUE,,151.66339552,-32.79175155,WOODBERRY,2322,NSW,2
GANSW706316834,196,EDGECLIFF ROAD,,151.24814366,-33.88976574,WOOLLAHRA,2025,NSW,2
GANSW706329909,1A,BELMONT AVENUE,UNIT 11,151.19284088,-33.83284138,WOLLSTONECRAFT,2065,NSW,1
GANSW706176844,12,DALLEY AVENUE,,151.27344903,-33.86265253,VAUCLUSE,2030,NSW,2
GANSW713118694,3-9,LAMONT STREET,UNIT 3,151.19883775,-33.82823093,WOLLSTONECRAFT,2065,NSW,1
GANSW706254832,102,KEMP STREET,,152.83495854,-31.06220232,WEST KEMPSEY,2440,NSW,2
GANSW719163951,17,KEMBLA STREET,UNIT 5,150.89913883,-34.41914378,WOLLONGONG,2500,NSW,2
GANSW716891816,3A,CAROLINE CHISHOLM DRIVE,,150.98854683,-33.77631291,WINSTON HILLS,2153,NSW,2
GANSW706314956,28A,HARBOUR STREET,UNIT 3,150.90252927,-34.42352312,WOLLONGONG,2500,NSW,2
GANSW706322141,560,WILLOUGHBY ROAD,UNIT 12,151.19910421,-33.80809094,WILLOUGHBY,2068,NSW,2
GANSW706174155,22A,RUSSELL AVENUE,,151.10446713,-33.71798395,WAHROONGA,2076,NSW,2
GANSW716499393,364,RIVER STREET,,152.82095981,-31.07054306,WEST KEMPSEY,2440,NSW,4
GANSW718402377,12,BRODIE SPARK DRIVE,UNIT 82,151.15459924,-33.92884529,WOLLI CREEK,2205,NSW,1
GANSW706252683,20,MAXWELL STREET,,150.89687776,-31.10634532,WEST TAMWORTH,2340,NSW,2
GANSW706226084,33,OCEAN VIEW DRIVE,UNIT 3,151.44300806,-33.43736819,WAMBERAL,2260,NSW,2
GANSW706260983,54,ESROM STREET,,149.56651634,-33.40622505,WEST BATHURST,2795,NSW,2
GANSW720677232,7,MALONE STREET,,151.47835950,-33.18260284,WYEE,2259,NSW,2
GANSW720682599,457,VICTORIA STREET,UNIT 47,150.88964705,-33.84548575,WETHERILL PARK,2164,NSW,2
GANSW706332636,111,LANHAMS ROAD,,150.97787014,-33.77607671,WINSTON HILLS,2153,NSW,2
GANSW715461975,48A,JONES AVENUE,,151.64606139,-32.98411926,WARNERS BAY,2282,NSW,2
GANSW715498445,16,SHORT STREET,,151.20612278,-33.90286315,WATERLOO,2017,NSW,2
GANSW706258919,110,TOZER STREET,,152.82455177,-31.07266434,WEST KEMPSEY,2440,NSW,2
GANSW706338596,12,WINDSOR ROAD,,151.20811421,-33.80364336,WILLOUGHBY,2068,NSW,2
GANSW712769909,37,TOMPSON STREET,,147.37130971,-35.11174948,WAGGA WAGGA,2650,NSW,2
GANSW717816619,166-170,KEIRA STREET,UNIT 2,150.89309321,-34.42354224,WOLLONGONG,2500,NSW,2
GANSW706324083,3,MCCOURT STREET,,151.06950722,-33.91978482,WILEY PARK,2195,NSW,2
GANSW706332827,38,ROBYN ROAD,,150.61984683,-33.66874796,WINMALEE,2777,NSW,2
GANSW720088318,82,IRWIN STREET,UNIT 10,150.75293979,-33.75300019,WERRINGTON,2747,NSW,2
GANSW717800283,53,BANDICOOT DRIVE,,150.87723999,-33.76218339,WOODCROFT,2767,NSW,2
GANSW719665326,6,THREAD LANE,UNIT 501,151.21080519,-33.90085736,WATERLOO,2017,NSW,2
GANSW719166277,17,KEMBLA STREET,UNIT 19,150.89913883,-34.41914378,WOLLONGONG,2500,NSW,2
GANSW706320534,12,HAINSWORTH STREET,UNIT 6,150.99351639,-33.80339658,WESTMEAD,2145,NSW,2
GANSW706320538,14,HAINSWORTH STREET,UNIT 3,150.99339058,-33.80330937,WESTMEAD,2145,NSW,2
GANSW706327463,1,FOURTH STREET,,151.46445840,-32.81073163,WESTON,2326,NSW,2
GANSW706177745,19,WENTWORTH ROAD,,151.27239066,-33.85747040,VAUCLUSE,2030,NSW,2
